customer_id,customer_name,signup_date,age,gender,city,state,segment,acquisition_channel
C00001,Sai Joshi,2024-04-02,25,Female,Vijayawada,Andhra Pradesh,Consumer,Email
C00002,Kiran Gupta,2024-03-23,55,Other,Bengaluru,Karnataka,Consumer,Paid Social
C00003,Naveen Kumar,2025-07-08,59,Female,Visakhapatnam,Andhra Pradesh,Corporate,Paid Social
C00004,Arjun Sharma,2024-11-20,45,Male,Visakhapatnam,Andhra Pradesh,Consumer,Referral
C00005,Arjun Iyer,2026-01-03,34,Female,Kochi,Kerala,Consumer,Direct
C00006,Divya Rao,2023-04-04,41,Male,Kochi,Kerala,Small Business,Paid Social
C00007,Rohan Singh,2025-01-17,42,Male,Bengaluru,Karnataka,Consumer,Referral
C00008,Sandeep Joshi,2023-12-17,61,Female,Visakhapatnam,Andhra Pradesh,Consumer,Marketplace
C00009,Vivaan Rao,2024-10-26,58,Female,Pune,Maharashtra,Corporate,Marketplace
C00010,Rahul Verma,2024-10-06,22,Male,Pune,Maharashtra,Consumer,Direct
C00011,Sandeep Kumar,2026-02-23,27,Other,Ahmedabad,Gujarat,Consumer,Email
C00012,Nisha Sharma,2025-11-09,41,Female,Kolkata,West Bengal,Small Business,Paid Social
C00013,Priya Iyer,2023-05-11,28,Other,Vijayawada,Andhra Pradesh,Small Business,Email
C00014,Divya Gupta,2023-08-23,53,Male,,Maharashtra,Corporate,Referral
C00015,Vikram Das,2024-06-23,36,Female,Bengaluru,Karnataka,Consumer,Organic Search
C00016,Sai Singh,2024-02-12,37,Female,Vijayawada,Andhra Pradesh,Consumer,Email
C00017,Diya Rao,2025-01-13,56,Female,Hyderabad,Telangana,Consumer,Email
C00018,Sai Patel,2025-12-26,23,Other,Bengaluru,Karnataka,Consumer,Email
C00019,Sandeep Das,2024-03-09,34,Other,Chennai,Tamil Nadu,Consumer,Direct
C00020,Vikram Nair,2025-06-16,43,Female,Pune,Maharashtra,Consumer,Organic Search
C00021,Aarav Sharma,2024-03-27,19,Other,Delhi,Delhi,Consumer,Paid Social
C00022,Ananya Verma,2024-05-02,20,Male,Bengaluru,Karnataka,Consumer,Paid Social
C00023,Sneha Rao,2025-08-26,54,Female,Visakhapatnam,Andhra Pradesh,Consumer,Marketplace
C00024,Divya Verma,2023-04-21,45,Other,Delhi,Delhi,Consumer,Marketplace
C00025,Rahul Gupta,2024-01-28,39,Male,Visakhapatnam,Andhra Pradesh,Consumer,Paid Social
C00026,Sandeep Sharma,2025-06-26,47,Female,Pune,Maharashtra,Consumer,Email
C00027,Sneha Nair,2023-12-07,23,Male,Hyderabad,Telangana,Consumer,Marketplace
C00028,Kavya Kumar,2024-06-27,28,Male,Hyderabad,Telangana,Consumer,Direct
C00029,Rahul Reddy,2024-08-30,60,Other,Jaipur,Rajasthan,Corporate,Organic Search
C00030,Vikram Patel,2025-10-26,38,Female,Visakhapatnam,Andhra Pradesh,Small Business,Organic Search
C00031,Priya Sharma,2024-04-26,22,Other,Chennai,Tamil Nadu,Consumer,Email
C00032,Vikram Singh,2026-03-03,57,Male,Hyderabad,Telangana,Consumer,Direct
C00033,Kavya Singh,2024-09-06,33,Female,Delhi,Delhi,Consumer,Email
C00034,Sai Singh,2024-06-27,24,Female,Kochi,Kerala,Small Business,Referral
C00035,Harsha Das,2024-09-11,28,Other,Pune,Maharashtra,Consumer,Direct
C00036,Ananya Sharma,2023-10-03,37,Female,Jaipur,Rajasthan,Corporate,Paid Social
C00037,Divya Verma,2024-02-21,36,Male,Pune,Maharashtra,Consumer,Referral
C00038,Aarav Singh,2023-04-01,23,Female,Hyderabad,Telangana,Consumer,Referral
C00039,Aarav Sharma,2026-02-22,65,Female,Chennai,Tamil Nadu,Small Business,Direct
C00040,Sai Iyer,2026-02-05,52,Female,Chennai,Tamil Nadu,Consumer,Referral
C00041,Meera Das,2023-07-30,40,Other,Hyderabad,Telangana,Small Business,Marketplace
C00042,Rohan Iyer,2023-11-29,65,Female,Kochi,Kerala,Consumer,Referral
C00043,Rohan Das,2024-06-30,60,Other,Kolkata,West Bengal,Consumer,Organic Search
C00044,Diya Naidu,2024-12-17,32,Female,Ahmedabad,Gujarat,Consumer,Direct
C00045,Meera Verma,2024-07-25,43,Other,Mumbai,Maharashtra,Consumer,Email
C00046,Naveen Kumar,2024-01-01,19,Female,Delhi,Delhi,Consumer,Marketplace
C00047,Arjun Iyer,2025-11-13,64,Other,Delhi,Delhi,Consumer,Organic Search
C00048,Divya Joshi,2026-01-07,,Other,Visakhapatnam,Andhra Pradesh,Corporate,Paid Social
C00049,Harsha Singh,2024-11-07,45,Other,Delhi,Delhi,Corporate,Direct
C00050,Pooja Kumar,2025-04-04,50,Other,Pune,Maharashtra,Consumer,Marketplace
C00051,Naveen Kumar,2026-06-14,42,Male,Vijayawada,Andhra Pradesh,Consumer,Organic Search
C00052,Lakshmi Singh,2026-05-27,36,Male,Pune,Maharashtra,Consumer,Direct
C00053,Divya Sharma,2023-12-14,50,Male,Mumbai,Maharashtra,Consumer,Direct
C00054,Divya Kumar,2024-04-26,39,Female,Kochi,Kerala,Corporate,Paid Social
C00055,Kavya Iyer,2023-05-30,20,Other,Hyderabad,Telangana,Consumer,Direct
C00056,Arjun Das,2023-01-12,42,Male,Visakhapatnam,Andhra Pradesh,Consumer,Direct
