order_id,line_no,order_date,customer_id,product_id,quantity,unit_price,discount_pct,payment_method,order_status,delivery_days,rating,sales_channel,customer_name,signup_date,age,gender,city,state,segment,acquisition_channel,category,subcategory,product_name,cost_price,list_price,supplier,launch_date,gross_revenue,discount_amount,net_revenue,total_cost,profit,profit_margin,year,month,quarter,month_year,delivery_bucket,discount_band
O005545,1,2026-02-18,C01881,P0133,2,3911.0,0.1,Debit Card,Delivered,5.0,3.3331993165142224,Web,Naveen Rao,2024-07-10,37.0,Other,Visakhapatnam,Andhra Pradesh,Consumer,Email,Books,Fiction,Fiction Product 1,2412.28,3801.51,Aster Supply,2024-10-13,7822.0,782.2,7039.8,4824.56,2215.24,31.46737123213727,2026,2,1,2026-02,normal,1-10%
O005690,1,2026-04-16,C00939,P0054,1,13221.43,0.15,Debit Card,Delivered,3.0,4.0,Web,Harsha Kumar,2025-08-09,53.0,Other,unknown,West Bengal,Small Business,Organic Search,Fashion,Men,Men Product 6,10053.16,12906.5,Evergreen Distributors,2022-07-25,13221.43,1983.2145,11238.2155,10053.16,1185.0555000000004,10.544872537815282,2026,4,2,2026-04,fast,11-20%
O005472,3,2026-07-29,C00360,P0006,2,21007.01,0.25,Credit Card,Delivered,5.0,3.0,Web,Ishita Reddy,2023-01-20,32.0,Other,Hyderabad,Telangana,Consumer,Direct,Electronics,Smartphones,Smartphones Product 6,15362.37,20477.18,Galaxy Imports,2023-01-09,42014.02,10503.505,31510.515,30724.74,785.7749999999978,2.493691391587849,2026,7,3,2026-07,normal,21-30%
O004310,2,2025-04-06,C01670,P0015,1,21646.09,0.0,UPI,Delivered,6.0,3.0,App,Naveen Patel,2024-04-12,38.0,Female,Ahmedabad,Gujarat,Consumer,Marketplace,Electronics,Audio,Audio Product 3,17439.07,22286.41,Delta Wholesale,2025-04-21,21646.09,0.0,21646.09,17439.07,4207.02,19.43547310391854,2025,4,2,2025-04,normal,No Discount
O006198,1,2025-03-01,C00515,P0143,2,4154.68,0.2,Credit Card,Delivered,7.0,3.0,Marketplace,Sai Verma,2023-11-26,33.0,Other,Hyderabad,Telangana,Consumer,Email,Books,Education,Education Product 5,2444.18,4082.28,BluePeak Traders,2024-12-23,8309.36,1661.8720000000003,6647.488,4888.36,1759.1280000000006,26.46304889907286,2025,3,1,2025-03,slow,11-20%
O005823,2,2025-01-05,C00821,P0104,1,5113.81,0.05,Credit Card,Delivered,4.0,3.0,Web,Ishita Nair,2024-02-26,54.0,Other,Delhi,Delhi,Corporate,Direct,Sports,Outdoor,Outdoor Product 2,3731.67,4994.97,Delta Wholesale,2023-09-11,5113.81,255.69050000000004,4858.119500000001,3731.67,1126.4495000000006,23.18694507205927,2025,1,1,2025-01,normal,1-10%
O003631,1,2026-06-26,C01933,P0137,2,4803.45,0.1,UPI,Delivered,3.0,5.0,App,Kiran Joshi,2023-01-27,26.0,Male,Jaipur,Rajasthan,Consumer,Direct,Books,Fiction,Fiction Product 5,3910.79,4675.01,Crestline,2022-06-03,9606.9,960.69,8646.21,7821.58,824.6299999999992,9.537473644521695,2026,6,2,2026-06,fast,1-10%
O006001,1,2026-04-24,C00259,P0136,2,14127.04,0.05,UPI,Returned,7.0,3.0,App,Neha Reddy,2024-05-16,56.0,Male,Ahmedabad,Gujarat,Consumer,Email,Books,Fiction,Fiction Product 4,9768.75,13684.07,Crestline,2026-04-11,28254.08,1412.7040000000002,26841.376,19537.5,7303.876,27.21125772389612,2026,4,2,2026-04,slow,1-10%
O002319,2,2025-07-31,C00036,P0114,3,1289.51,0.15,Cash on Delivery,Delivered,1.0,5.0,App,Ananya Sharma,2023-10-03,37.0,Female,Jaipur,Rajasthan,Corporate,Paid Social,Sports,Sportswear,Sportswear Product 6,985.69,1247.91,BluePeak Traders,2022-11-07,3868.5299999999997,580.2795,3288.2504999999996,2957.07,331.1804999999995,10.071632316333549,2025,7,3,2025-07,fast,11-20%
O004315,1,2026-03-05,C00138,P0138,1,999.65,0.1,UPI,Delivered,6.0,3.0,Web,Aditya Sharma,2025-06-27,43.0,Male,Ahmedabad,Gujarat,Consumer,Organic Search,Books,Fiction,Fiction Product 6,578.54,1009.18,Galaxy Imports,2022-04-21,999.65,99.965,899.685,578.54,321.145,35.69527112267071,2026,3,1,2026-03,normal,1-10%
O003588,3,2026-08-07,C01205,P0008,1,22477.6,0.3,UPI,Delivered,5.0,3.0,Web,Meera Das,2023-09-12,42.0,Male,Jaipur,Rajasthan,Consumer,Direct,Electronics,Laptops,Laptops Product 2,14897.26,22770.33,Delta Wholesale,2023-01-16,22477.6,6743.28,15734.32,14897.26,837.0599999999995,5.319962985372101,2026,8,3,2026-08,normal,21-30%
O001602,1,2026-08-16,C00222,P0132,2,19148.0,0.0,Wallet,Cancelled,4.273105273105273,3.3331993165142224,Web,Vivaan Reddy,2023-03-24,30.0,Female,Chennai,Tamil Nadu,Corporate,Marketplace,Books,Business,Business Product 6,14519.88,18909.71,Fusion Retail Supply,2025-09-27,38296.0,0.0,38296.0,29039.76,9256.240000000002,24.1702527679131,2026,8,3,2026-08,normal,No Discount
O003118,1,2026-02-26,C01356,P0133,1,3791.58,0.0,Cash on Delivery,Returned,5.0,3.0,Marketplace,Ananya Nair,2024-08-12,24.0,Male,Delhi,Delhi,Consumer,Paid Social,Books,Fiction,Fiction Product 1,2412.28,3801.51,Aster Supply,2024-10-13,3791.58,0.0,3791.58,2412.28,1379.2999999999997,36.37797435369951,2026,2,1,2026-02,normal,No Discount
O002803,2,2025-11-27,C00461,P0062,3,17857.49,0.0,UPI,Delivered,1.0,4.0,App,Sandeep Gupta,2024-08-20,18.0,Male,Mumbai,Maharashtra,Corporate,Organic Search,Fashion,Footwear,Footwear Product 2,14520.28,18564.73,BluePeak Traders,2025-01-17,53572.47,0.0,53572.47,43560.840000000004,10011.629999999997,18.688012705033007,2025,11,4,2025-11,fast,No Discount
O004415,1,2025-09-05,C00334,P0053,1,7390.45,0.0,Credit Card,Returned,1.0,4.0,Web,Neha Joshi,2024-09-17,59.0,Female,Vijayawada,Andhra Pradesh,Consumer,Organic Search,Fashion,Men,Men Product 5,6197.94,7432.94,Galaxy Imports,2023-02-22,7390.45,0.0,7390.45,6197.94,1192.5100000000002,16.135823934943073,2025,9,3,2025-09,fast,No Discount
O004352,1,2025-03-21,C01284,P0088,1,26342.07,0.15,UPI,Delivered,4.0,4.0,Web,Nisha Patel,2025-04-08,43.0,Female,Ahmedabad,Gujarat,Corporate,Email,Beauty,Makeup,Makeup Product 4,16961.14,25534.91,Evergreen Distributors,2023-06-19,26342.07,3951.3104999999996,22390.7595,16961.14,5429.619500000001,24.2493761768108,2025,3,1,2025-03,normal,11-20%
O006261,3,2026-06-08,C00808,P0030,1,14821.0,0.1,Credit Card,Delivered,3.0,4.0,Marketplace,Vikram Kumar,2025-09-19,60.0,Female,Ahmedabad,Gujarat,Corporate,Organic Search,Home & Kitchen,Cookware,Cookware Product 6,11194.51,14578.01,Horizon Partners,2024-05-09,14821.0,1482.1000000000001,13338.9,11194.51,2144.3899999999994,16.07621318099693,2026,6,2,2026-06,fast,1-10%
O002769,1,2026-07-11,C00385,P0035,1,18412.93,0.1,Debit Card,Delivered,3.0,4.0,App,Kiran Verma,2024-12-31,62.0,Other,Jaipur,Rajasthan,Corporate,Marketplace,Home & Kitchen,Appliances,Appliances Product 5,14000.85,17936.14,BluePeak Traders,2024-02-24,18412.93,1841.2930000000001,16571.637,14000.85,2570.7869999999984,15.513174709293951,2026,7,3,2026-07,fast,1-10%
O005023,1,2025-12-13,C00481,P0023,2,27782.58,0.1,Debit Card,Delivered,4.0,3.0,App,Pooja Singh,2023-05-30,49.0,Other,Pune,Maharashtra,Consumer,Paid Social,Electronics,Accessories,Accessories Product 5,15814.17,26718.11,BluePeak Traders,2025-03-27,55565.16,5556.5160000000005,50008.644,31628.34,18380.304,36.75425392458152,2025,12,4,2025-12,normal,1-10%
O000912,1,2025-12-19,C00246,P0043,1,16724.82,0.1,Credit Card,Delivered,6.0,2.0,Web,Pooja Das,2025-10-26,47.0,Male,Bengaluru,Karnataka,Consumer,Direct,Home & Kitchen,Home Decor,Home Decor Product 1,9242.53,16085.68,Evergreen Distributors,2025-10-02,16724.82,1672.482,15052.338,9242.53,5809.807999999999,38.59737935727991,2025,12,4,2025-12,normal,1-10%
O002063,1,2025-07-29,C01551,P0036,2,19301.87,0.2,Cash on Delivery,Delivered,2.0,4.0,App,Sandeep Sharma,2025-06-12,26.0,Other,Pune,Maharashtra,Consumer,Email,Home & Kitchen,Appliances,Appliances Product 6,12565.89,18578.93,Aster Supply,2025-02-23,38603.74,7720.748,30882.992,25131.78,5751.2119999999995,18.62258682707945,2025,7,3,2025-07,fast,11-20%
O000779,3,2025-09-06,C01817,P0024,2,20800.86,0.0,Wallet,Delivered,5.0,3.0,App,Vivaan Mehta,2023-07-24,20.0,Female,Bengaluru,Karnataka,Small Business,Email,Electronics,Accessories,Accessories Product 6,16682.58,20761.84,Horizon Partners,2024-09-12,41601.72,0.0,41601.72,33365.16,8236.559999999998,19.79860448077627,2025,9,3,2025-09,normal,No Discount
O003770,1,2026-03-09,C00865,P0110,1,8269.97,0.05,Cash on Delivery,Delivered,4.0,3.0,Web,Kiran Das,2023-06-07,67.0,Male,Jaipur,Rajasthan,Consumer,Referral,Sports,Sportswear,Sportswear Product 2,5076.05,8500.75,Delta Wholesale,2024-11-13,8269.97,413.4985,7856.4715,5076.05,2780.4214999999995,35.390206659567205,2026,3,1,2026-03,normal,1-10%
